Week,GeoCode,KPI,seasonality,base_price,acv_distribution,price_discount,feature,display,feature_display,video,audio,digital_display,search,OOH,PR,samples
2018-10-01,geo1,47.13909149,1.128786082,4.362750351,53.12608873,6.606078225,4.621907091,2.172928631,1.959900232,3.260327138,0,0,119.8299,0,18.30548028,0
2018-10-08,geo1,47.40318182,1.120095012,4.380032208,53.70442037,7.069498312,0.619465485,2.619269512,0,3.506099576,0,0,115.83699999999999,0,8.134792023,0
2018-10-15,geo1,45.478634230000004,1.045037689,4.380699894,53.63572013,9.845864191,0.902576736,1.255681642,0,2.852770263,0,0,120.0848,0,13.57345284,0
2018-10-22,geo1,45.180844040000004,1.012463571,4.35096599,54.38934091,7.822692946,0,1.409226903,0,2.661151528,0,0,116.17680000000001,0,0,0
2018-10-29,geo1,46.15629571,1.015617022,4.322775274,55.16061604,7.916085753,6.064294106,0.568263601,1.690159894,1.569088317,0,0,107.72379999999998,0,0,0
2018-11-05,geo1,44.71016608,1.042755603,4.337783046,54.78362566,7.287346855,0,0.074482365,0,1.100818315,0,0,99.5,0,47.74260245,0
2018-11-12,geo1,43.15796105,0.999794045,4.362706043,55.35715419,10.17572659,3.745044143,0.398707945,0,0.969841344,0,0,90.7,0,0.004492879,0
2018-11-19,geo1,37.308804519999995,0.860915146,4.361636591,53.68437114,8.137242393,0,0,0,1.051618376,0,0,69.2,0,0.058573095,0
2018-11-26,geo1,41.17547864,0.856772988,4.319916022,53.63267869,10.06435088,0,0.415625417,0,0.856067893,0,0,85.6,0,0,0
2018-12-03,geo1,51.1925033,0.971044797,4.328508665,56.41873144,10.58051772,10.63017553,0,0,0.951902535,0,0,83.8,0,0,0
2018-12-10,geo1,43.930148759999994,0.898476671,4.316109677,55.87493923,11.37985353,7.261494885,0,0,0.846268259,0,0,91,0,39.5377876,0
2018-12-17,geo1,38.00306954,0.835061797,4.32287271,55.15528085,10.67647695,0,0,0,1.39869575,0,0,92.5,0,0,0
2018-12-24,geo1,29.84716503,0.67040908,4.351358081,53.54744487,10.63817035,4.471146961,0,0,1.317018117,0,0,102.0742,0,0,0
2018-12-31,geo1,38.80003694,0.938309853,4.342731448,55.01399697,10.89213394,2.773731621,0,0,0.08244096,0,0,120.637,0,4.261034568,0
2019-01-07,geo1,44.69194469,1.045720626,4.374524625,55.42171159,10.17880426,2.924162229,3.084578093,0,0,0,0,104.5804,0,13.54457306,0
2019-01-14,geo1,48.37876167,1.037485009,4.344555568,55.63274001,8.957870953,1.714608075,2.600036623,0,0,0,0,113.79809999999999,0,5.041654625,0
2019-01-21,geo1,45.217189059999995,1.027178862,4.333474345,55.71091064,7.566297416,4.185152801,1.389587356,0,0,0,0,118.0034,0,0,0
2019-01-28,geo1,47.051459900000005,1.070085219,4.315472935,56.28605875,6.77340351,1.095437965,0.520008181,0,0.44034763,0,0,107.93610000000001,0,0,0
2019-02-04,geo1,43.12992244,1.024879983,4.321977883,54.74083284,9.392574158,0,0,0,1.112356991,0,0,109.8901,0,0,0
2019-02-11,geo1,43.2278914,0.992148724,4.345286702,54.44135152,9.405573262,2.713208123,0,0,1.090650398,0,0,103.9432,0,0,0
2019-02-18,geo1,45.52652896,0.996118484,4.29398571,55.37183398,7.252982514,4.575553529,0,0.519903986,1.224734196,0,0,114.4777,0,0,0
2019-02-25,geo1,47.4953753,1.055146742,4.296939208,56.070929,7.126363137,4.087868686,0.997301047,0.971249529,1.07683576,0,0,103.4335,0,7.39291429,0
2019-03-04,geo1,47.42161795,1.078962701,4.332853034,55.45884831,7.753586257,3.37711189,0,0,0.660342826,0,0,92,0,4.261034568,0
2019-03-11,geo1,43.27373091,1.083286821,4.349084702,53.86422521,9.340590189,5.040970651,0,0,2.331811193,0,0,84.2,0,0,0
2019-03-18,geo1,41.995007539999996,1.041123976,4.332514913,54.33641544,9.139964464,0,1.491624212,0,2.232419458,0,0,156.7007,0,0,0
2019-03-25,geo1,46.17056051,1.013683588,4.324078593,54.88760466,6.801022766,4.028837278,0,0,0.666245969,0,0,150.7113,0,0,0
2019-04-01,geo1,45.53973558,1.032566736,4.315996212,54.56213957,7.554415332,1.452469982,0,0,1.017127657,0,0,158.1025,0,0,0
