Delta,rc_fb_total_imp,rc_DIS_IMP,rc_US_YT_percinview,rc_RelAVG_P_CapM,fb_total_spd,DIS_COST,US_YT_Spend
2.5,11401.60132743651,556.9991824885365,2605.7821337220958,-101707.34191649809,8783945.485,5016956.378875,2536970.4499999997
2.5500000000000003,11471.273795041838,560.5331467071082,2629.6632942622527,-103160.30394387664,8909430.420500001,5088627.184287501,2573212.8850000002
2.6,11540.131850977312,564.0285228929715,2653.3423607578734,-104613.2659712552,9034915.356,5160297.989700001,2609455.32
2.6500000000000004,11608.194828754175,567.4861819037469,2676.822824847186,-106066.22799863375,9160400.2915,5231968.795112501,2645697.755
2.7,11675.48137392453,570.9069646477001,2700.1080867199926,-107519.19002601231,9285885.227,5303639.600525,2681940.19
2.75,11742.0094765689,574.2916834676871,2723.2014583342243,-108972.1520533908,9411370.1625,5375310.4059375,2718182.625
2.8000000000000003,11807.796501877601,577.6411234441912,2746.1061664905865,-110425.11408076936,9536855.098000001,5446981.21135,2754425.06
2.85,11872.859218961326,580.9560436242027,2768.8253557720454,-111878.07610814791,9662340.0335,5518652.016762501,2790667.495
2.9000000000000004,11937.213828010601,584.237178180716,2791.362091357005,-113331.03813552647,9787824.969,5590322.822175001,2826909.93
2.95,12000.875985918916,587.4852375077317,2813.719361710013,-114784.00016290502,9913309.9045,5661993.6275875,2863152.3649999998
3,12063.8608304722,590.7009092541412,2835.9000811596634,-116236.96219028358,10038794.84,5733664.433,2899394.8
