Week,GeoCode,KPI,d_Intercept,d_seasonality_t,d_base_price_t,d_acv_distribution_t,d_price_discount_t,d_feature_t,d_display_t,d_feature_display_t,d_video_t,d_audio_t,d_digital_display_t,d_search_t,d_OOH_t,d_PR_t,d_samples_t
2018-11-05,geo8,5.271519456,-3.072483000531702,5.434306703832382,-2.5040038257415427,6.081496230730257,0,0,0,0,-0.1508438585722386,0,0,0.24863033483597882,0,0.3483986079159134,0
2018-11-12,geo8,7.065214806,-3.072483000531702,5.5745477695723675,-2.51224878480391,6.1823261611281035,0,0,0,0,-0.13500126938717108,0,0,0.24392099828331273,0,0.2643555757778406,0
2018-11-19,geo8,4.505521034,-3.072483000531702,4.278935848554468,-2.515852285895042,6.150339510729416,0,0,0,0,-0.14042706124013798,0,0,0.23198424097739423,0,0.18480339491936432,0
2018-11-26,geo8,4.957618684,-3.072483000531702,4.678658321413666,-2.5188798312749205,6.058206482357186,0,0,0,0,-0.12361204305821157,0,0,0.23823446293031267,0,0.11607733791560475,0
2018-12-03,geo8,7.073930512,-3.072483000531702,5.2185847952643405,-2.5153543852073024,6.209034824186599,0,0,0,0,-0.13063776441059236,0,0,0.23847998180383703,0,0.06374201510747932,0
2018-12-10,geo8,5.505876401,-3.072483000531702,5.116918585900574,-2.499271826768505,6.268509134061178,0,0,0,0,-0.12165224306236229,0,0,0.24205952964174282,0,0.2302128960541626,0
2018-12-17,geo8,4.256577591999999,-3.072483000531702,3.9715215052108372,-2.4970728513073195,6.1297757177176315,0,0,0,0,-0.16675061459876386,0,0,0.2434486679825178,0,0.15484363026400425,0
2018-12-24,geo8,3.3673851530000003,-3.072483000531702,3.398904338931053,-2.4967073274245766,6.010462853264042,0,0,0,0,-0.1647167203949825,0,0,0.24788406651679412,0,0.09215901768691466,0
2018-12-31,geo8,4.541931632,-3.072483000531702,4.81083194217703,-2.5039562125502086,6.07296322944543,0,0,0,0,-0.037297755492733176,0,0,0.2558905659547094,0,0.14173626690727256,0
2019-01-07,geo8,5.3383454089999995,-3.072483000531702,5.841598326348983,-2.509339788885159,6.174969600542139,0,0,0,0,-0.004068320618918292,0,0,0.25139314641192967,0,0.23013461243875621,0
2019-01-14,geo8,5.405423936999999,-3.072483000531702,5.366686757836696,-2.514436642379837,6.1918008604587556,0,0,0,0,-3.85679133625779e-4,0,0,0.25400857644897384,0,0.2011251932095805,0
2019-01-21,geo8,5.262882945,-3.072483000531702,5.451229661433429,-2.510970734645938,6.298860855700876,0,0,0,0,-1.4862672174071582e-5,0,0,0.256045764867988,0,0.12969681258333726,0
2019-01-28,geo8,5.957372997999999,-3.072483000531702,5.638865756817653,-2.503871633238473,6.30640104247806,0,0,0,0,-0.0661593920420901,0,0,0.25271008775481324,0,0.07337683587745271,0
2019-02-04,geo8,5.428213397,-3.072483000531702,5.1654036735839775,-2.497690185664875,6.1265315332890635,0,0,0,0,-0.14001956911429517,0,0,0.2527799591117191,0,0.03444716013392192,0
2019-02-11,geo8,5.093618201,-3.072483000531702,5.023676826967569,-2.489643180089144,6.082561791561438,0,0,0,0,-0.14422317676661803,0,0,0.2504626232111046,0,0.007681921813980057,0
2019-02-18,geo8,5.831927006,-3.072483000531702,5.223525507531717,-2.484263963559463,6.133429008863222,0,0,0,0,-0.15546342723625065,0,0,0.25407182175309656,0,0,0
2019-02-25,geo8,5.883398797,-3.072483000531702,5.507228821347885,-2.475724382960844,6.13013568166386,0,0,0,0,-0.14464242789945442,0,0,0.2505357902909539,0,0.1677099681460033,0
2019-03-04,geo8,7.682499208,-3.072483000531702,5.852598641680154,-2.4813964129587873,6.317687513595947,0,0,0,0,-0.10497679251862842,0,0,0.24497482988884148,0,0.16582617826476603,0
2019-03-11,geo8,5.254736693,-3.072483000531702,5.540760013596381,-2.4819971964158674,6.285344466375901,0,0,0,0,-0.2244821575831377,0,0,0.24011574023583857,0,0.10075840319237246,0
2019-03-18,geo8,5.413097919,-3.072483000531702,5.379618467737649,-2.487723700923583,6.090372866259572,0,0,0,0,-0.22788999176708158,0,0,0.2665036192827553,0,0.05340079564155473,0
2019-03-25,geo8,5.691204345,-3.072483000531702,5.302065018429193,-2.494364220219941,6.057793877274126,0,0,0,0,-0.11808346096736415,0,0,0.2688436154423253,0,0.025038601998819424,0
2019-04-01,geo8,6.0123842320000005,-3.072483000531702,6.109282902361264,-2.479350746595899,5.967986830490133,0,0,0,0,-0.13588600752925123,0,0,0.2713347069924774,0,0.006532245638712159,0
2019-04-08,geo8,5.796314095,-3.072483000531702,5.225759703219273,-2.482706199174345,5.896010278746803,0,0,0,0,-0.35463658709019635,0,0,0.27355184542347705,0,5.251266142963134e-4,0
2019-04-15,geo8,5.558819405,-3.072483000531702,5.1586608100489375,-2.4836127295424957,5.91313762357096,0,0,0,0,-0.3757133279415291,0,0,0.2712618852335805,0,2.1039780680155018e-4,0
2019-04-22,geo8,7.349182171000001,-3.072483000531702,6.561510080831401,-2.4781900010166353,6.169548043718569,0,0,0,0,-0.3609948370345955,0,0,0.2717909923395309,0,0.1147377604468273,0
2019-04-29,geo8,7.044334188,-3.072483000531702,5.661159834062251,-2.484068998554275,6.281202879174635,0,0,0,0,-0.31549738747157724,0,0,0.26948308463207543,0,0.06281635440829497,0
2019-05-06,geo8,5.496684142,-3.072483000531702,5.035022828764903,-2.4815655711416955,6.134716197121103,0,0,0,0,-0.35269930075744155,0,0,0.2626055694100708,0,0.030224670507125573,0
2019-05-13,geo8,5.733463084,-3.072483000531702,5.104393694355397,-2.4700886050785456,6.1228563403718255,0,0,0,0,-0.408895989880829,0,0,0.26384078295876146,0,0.030307856059273105,0
2019-05-20,geo8,5.580155877999999,-3.072483000531702,4.89322676378262,-2.468391368190808,6.0978669835774,0,0,0,0,-0.3977692090349726,0,0,0.2660413519777561,0,0.11841341045948606,0
2019-05-27,geo8,5.769894005,-3.072483000531702,5.151211497188495,-2.4703705071384494,5.896128830433274,0,0,0,0,-0.40386469070027314,0,0,0.27130432096691576,0,0.14913843372370095,0
2019-06-03,geo8,5.497166175,-3.072483000531702,5.898398234503834,-2.4635580971444755,5.862221608334343,0,0,0,0,-0.4084024884384313,0,0,0.2562083459611354,0,0.09681258996526801,0
2019-06-10,geo8,5.278023328000001,-3.072483000531702,4.694723119911054,-2.471236649538227,5.969747869198131,0,0,0,0,-0.4065525888266467,0,0,0.25581592983904405,0,0.09700049714572315,0
2019-06-17,geo8,7.835826544,-3.072483000531702,5.336737323692928,-2.49522317058579,6.120332003096178,0,0,0,0,-0.39472221459267387,0,0,0.26237028082533664,0,0.21329873189252424,0
2019-06-24,geo8,5.482817374000001,-3.072483000531702,4.8377249377490115,-2.498179330762814,6.0505955318027915,0,0,0,0,-0.38238215351577604,0,0,0.2563793015108852,0,0.19008278870213147,0
2019-07-01,geo8,5.895779836,-3.072483000531702,4.879981339139121,-2.4991824654458896,5.901551027964143,0,0,0,0,-0.2567754802531981,0,0,0.2613670366869265,0,0.2956305067252502,0
2019-07-08,geo8,5.652691606,-3.072483000531702,5.130093378603943,-2.4937955612496077,5.756333974621276,0,0,0,0,-0.2479854510919355,0,0,0.27178907804765373,0,0.25834572968066394,0
2019-07-15,geo8,6.0710892119999995,-3.072483000531702,5.183191504766398,-2.4739476326412753,5.503088722502461,0,0,0,0,-0.23617626771563047,0,0,0.271492928258585,0,0.18342591245094494,0
2019-07-22,geo8,5.079698607,-3.072483000531702,4.729260220954761,-2.463075448285619,5.672453944379558,0,0,0,0,-0.23006543312207478,0,0,0.2770210582212232,0,0.19008762218649766,0
2019-07-29,geo8,5.228884955000001,-3.072483000531702,5.013592803981339,-2.4580907453772713,5.9219697304638395,0,0,0,0,-0.20237956125589585,0,0,0.2744128597882714,0,0.12856820769332067,0
2019-08-05,geo8,7.778970402,-3.072483000531702,5.854487405552792,-2.4645666124158447,6.234922735985061,0,0,0,0,-0.25273525174912154,0,0,0.2745774544811936,0,0.06362733907617936,0.009156451900636471
2019-08-12,geo8,5.884248227,-3.072483000531702,5.074954752805773,-2.4492349392383304,6.219156158661814,0,0,0,0,-0.22790592546746027,0,0,0.27366922770576957,0,0.21608464624370155,0.025180242723144942
2019-08-19,geo8,5.585836328,-3.072483000531702,4.996638976413083,-2.4375060220141163,5.940095025351141,0,0,0,0,-0.2492945832340424,0,0,0.2704571108746253,0,0.22893530375619262,0.03204758164501694
2019-08-26,geo8,5.362960674,-3.072483000531702,5.0339261393994486,-2.419694268145996,5.966583682545395,0,0,0,0,-0.15191952506578713,0,0,0.26697767906952374,0,0.29785135220598546,0.03204758164501694
2019-09-02,geo8,5.823465101,-3.072483000531702,4.892996132906372,-2.395930510267839,6.017384388178657,0,0,0,0,-0.3275149870310428,0,0,0.20689753982715975,0,0.21653877148707254,0.027469355697102273
2019-09-09,geo8,6.1752831850000005,-3.072483000531702,4.887212556200911,-2.391947869420036,6.055370592041262,0,0,0,0,-0.3252919209970996,0,0,0.12471004379553288,0,0.15267267255590555,0.011445564874593802
2019-09-16,geo8,6.059095336,-3.072483000531702,4.885520289543806,-2.392812463243063,6.0193616572659305,0,0,0,0,-0.3257372216291049,0,0,0.052624946830416484,0,0.08883693611341935,0
2019-09-23,geo8,6.169738626,-3.072483000531702,5.319569017413086,-2.390420194857759,6.014988870575085,0,0,0,0,-0.33215434183531944,0,0,0.007217666963454489,0,0.1796536516617183,0
2019-09-30,geo8,5.748508535,-3.072483000531702,5.821250584946175,-2.3707749247953807,5.978803902250487,0,0,0,0,-0.1135168790919618,0,0,0,0,0.12376210400670168,0
2019-10-07,geo8,5.172368430000001,-3.072483000531702,5.649244463263612,-2.3466018367426353,5.893250225255562,0,0,0,0,-0.014928318298522758,0,0,0,0,0.07097991347584855,0
2019-10-14,geo8,5.238021223,-3.072483000531702,5.122336046873693,-2.3238284144762704,5.912430222808464,0,0,0,0,-0.001468948483910733,0,0,0,0,0.237836423393336,0
2019-10-21,geo8,5.342791848,-3.072483000531702,5.248534416498819,-2.308260050630968,6.010216838329731,0,0,0,0,-6.439305662648939e-5,0,0,0,0,0.17542917936224445,0
2019-10-28,geo8,5.199005508,-3.072483000531702,5.075068176548937,-2.3082892318673367,6.026662916998419,0,0,0,0,-0,0,0,0,0,0.10809796238885418,0
2019-11-04,geo8,7.6713589540000005,-3.072483000531702,5.434306703832382,-2.3001127279743185,6.113528536993507,0,0,0,0,-0,0,0,0,0,0.06004188761837493,0
2019-11-11,geo8,6.710344696,-3.072483000531702,5.5745477695723675,-2.294981915638015,6.105321153576439,0,0,0,0,-0,0,0,0,0,0.03145894527725542,0
2019-11-18,geo8,5.29106701,-3.072483000531702,4.278935848554468,-2.3036224484616445,5.902280829520722,0,0,0,0,-0,0,0,0,0,0.007997723843828686,0
2019-11-25,geo8,5.696237288,-3.072483000531702,4.678658321413666,-2.318619711886782,6.200298980179662,0,0,0,0,-0,0,0,0,0,0.006162048705645954,0
2019-12-02,geo8,5.383645168,-3.072483000531702,5.2185847952643405,-2.3221526760044866,6.337180522709808,0,0,0,0,-0,0,0,0,0,0.002474308842705188,0
2019-12-09,geo8,7.3192789849999995,-3.072483000531702,5.116918585900574,-2.333883144155117,6.413364320088326,0,0,0,0,-0,0,0,0,0,9.58330128582638e-4,0
2019-12-16,geo8,4.78194632,-3.072483000531702,3.9715215052108372,-2.315183877968625,6.368014393261405,0,0,0,0,-0,0,0,0,0,3.451251457068079e-4,0
2019-12-23,geo8,4.035198188,-3.072483000531702,3.398904338931053,-2.304444589400444,5.97450941988878,0,0,0,0,-0,0,0,0,0,9.873471506204122e-5,0
2019-12-30,geo8,5.747027398,-3.072483000531702,4.81083194217703,-2.32048954055373,6.032785603987351,0,0,0,0,-0.028052376578259222,0,0,0.21930015349364917,0,0,0
2020-01-06,geo8,6.014606591,-3.072483000531702,5.841598326348983,-2.3050599962976057,6.171731637746082,0,0,0,0,-0.07099972906839142,0,0,0.2704965141301848,0,0,0
2020-01-13,geo8,6.326560316,-3.072483000531702,5.366686757836696,-2.308941175924,6.126764015755944,0,0,0,0,-0.05006726892544962,0,0,0.28033453076958587,0,0,0
2020-01-20,geo8,6.30614614,-3.072483000531702,5.451229661433429,-2.3109973862662248,5.985847714851016,0,0,0,0,-0.04162749510859777,0,0,0.2629459910834448,0,0,0
2020-01-27,geo8,6.040527843,-3.072483000531702,5.638865756817653,-2.314673225349776,5.982396934093181,0,0,0,0,-0.07206045634112739,0,0,0.2663723205850784,0,0.06670766504555728,0
2020-02-03,geo8,5.789762313,-3.072483000531702,5.1654036735839775,-2.3134370894151,6.133062632634993,0,0,0,0,-0.08154843128215845,0,0,0.27093877329448607,0,0.03243494148401134,0
2020-02-10,geo8,5.5938052449999995,-3.072483000531702,5.023676826967569,-2.304258479258445,6.2477331445216056,0,0,0,0,-0.07090486473559006,0,0,0.27558219142710527,0,0.014322040581873674,0
2020-02-17,geo8,5.692053892,-3.072483000531702,5.223525507531717,-2.2952420154407807,6.262783086041936,0,0,0,0,-0.07839916708770682,0,0,0.27287725812970004,0,0.005989321439745242,0
2020-02-24,geo8,6.216691589,-3.072483000531702,5.507228821347885,-2.290628919847312,6.170067838611985,0,0,0,0,-0.08669005481612835,0,0,0.26834866108007704,0,0.005699341416463135,0
